rank,youtuber,subscribers,views,category,uploads,country
1,T-Series,245000000,228000000000,Music,20082,India
2,YouTube Movies,170000000,0,Film & Animation,1,United States
3,MrBeast,166000000,28368841870,Entertainment,741,United States
4,Cocomelon - Nursery Rhymes,162000000,164000000000,Education,966,United States
5,SET India,159000000,148000000000,Shows,116536,India
7,Kids Diana Show,112000000,93247040000,People & Blogs,1111,United States
8,PewDiePie,111000000,29058044447,Gaming,4716,Japan
9,Like Nastya,106000000,90479060027,People & Blogs,493,Russia
10,Vlad and Niki,98900000,77180169894,Entertainment,574,United States
11,Zee Music Company,96700000,57900000000,Music,8548,India
12,WWE,96000000,77400000000,Sports,70127,United States
14,BLACKPINK,89800000,32100000000,Music,543,South Korea
16,Sony SAB,83000000,101000000000,Shows,71270,India
17,5-Minute Crafts,80100000,26200000000,Howto & Style,1,United Kingdom
18,BANGTANTV,75600000,20800000000,Music,2281,South Korea
20,Justin Bieber,71600000,30600000000,Music,249,Canada
21,HYBE LABELS,71300000,28600000000,Music,1337,South Korea
22,Zee TV,70500000,73100000000,Entertainment,129204,India
23,Pinkfong Baby Shark,68200000,38800000000,Education,2865,United States
24,Canal KondZilla,66500000,36800000000,Music,2572,Brazil
25,ChuChu TV Nursery Rhymes,65900000,45800000000,Education,633,India
26,Shemaroo Filmi Gaane,65600000,28600000000,Music,8502,India
27,Colors TV,64600000,61500000000,Shows,112915,India
28,T-Series Bhakti Sagar,61000000,29500000000,Music,13,India
29,Dude Perfect,59500000,16200000000,Sports,389,United States
30,Movieclips,59500000,59300000000,Film & Animation,39113,United States
31,Tips Official,59300000,33400000000,Music,4741,India
32,El Reino Infantil,58400000,57300000000,Music,1510,Argentina
33,Wave Music,58000000,40600000000,Music,19487,India
34,Aaj Tak,57600000,25300000000,News & Politics,283775,India
35,Sony Music India,57200000,28800000000,Music,3882,India
36,EminemMusic,56900000,27100000000,Music,156,United States
37,Marshmello,56400000,14700000000,Entertainment,436,United States
38,YRF,54600000,35300000000,Film & Animation,3707,India
40,Ed Sheeran,53500000,30400000000,Music,383,United Kingdom
41,Infobells - Hindi,53300000,30500000000,Education,577,India
42,Taylor Swift,52900000,29900000000,Music,216,United States
43,Ariana Grande,52700000,24000000000,Music,147,United States
44,BillionSurpriseToys,52200000,9880000000,Education,847,United States
45,JuegaGerman,48100000,14600000000,Gaming,2052,Chile
46,Billie Eilish,47900000,13600000000,Music,65,United States
47,Get Movies,47500000,30800000000,Entertainment,3322,Russia
48,Shemaroo,47400000,22500000000,Entertainment,11451,India
50,SonyMusicIndiaVEVO,46600000,27300000000,Music,3444,United States
